,name,club,league,attacking,defending,goalkeeping,average_age,international_reputation,mentality,movement,overall,potential,power,skill,skill_moves,value_eur,wage_eur,work_rate,year
144,Thiago,FC Bayern München,Bundesliga,72,53,9,23,3,73,81,81,86,70,83,4,0,0,Medium,2015
145,K. De Bruyne,VfL Wolfsburg,Bundesliga,71,38,11,23,2,66,77,81,86,77,79,4,0,0,High,2015
146,T. Walcott,Arsenal,Premier League,72,32,9,25,3,63,87,81,85,67,74,3,0,0,High,2015
147,Jordi Alba,FC Barcelona,La Liga,72,78,12,25,3,73,88,81,85,73,73,3,0,0,High,2015
148,J. Wilshere,Arsenal,Premier League,69,59,11,22,3,73,79,81,85,74,80,3,0,0,Medium,2015
149,K. Strootman,Roma,Serie A,66,74,7,24,2,77,68,81,85,77,76,2,0,0,High,2015
150,H. Mkhitaryan,Borussia Dortmund,Bundesliga,70,51,8,25,2,71,84,81,85,73,77,4,0,0,High,2015
151,Roberto Firmino,TSG 1899 Hoffenheim,Bundesliga,78,28,8,22,2,57,79,81,85,74,77,4,0,0,Medium,2015
152,G. dos Santos,Villarreal CF,La Liga,75,25,7,25,3,59,86,81,84,69,80,4,0,0,High,2015
153,N. Şahin,Borussia Dortmund,Bundesliga,70,66,11,25,3,68,67,81,84,59,83,3,0,0,High,2015
154,Leandro Castán,Roma,Serie A,45,83,5,27,2,57,66,81,84,67,47,2,0,0,Medium,2015
155,L. Bender,Bayer 04 Leverkusen,Bundesliga,68,80,8,25,3,72,68,81,84,78,64,2,0,0,High,2015
156,S. Jovetić,Manchester City,Premier League,79,34,8,24,2,64,74,81,84,77,77,4,0,0,High,2015
157,Iturraspe,Athletic Club de Bilbao,La Liga,70,77,7,25,2,77,67,81,84,75,73,2,0,0,High,2015
158,W. Bony,Swansea City,Premier League,70,31,8,25,2,66,71,81,84,85,64,3,0,0,Medium,2015
159,A. Schürrle,Chelsea,Premier League,76,32,10,23,3,67,83,81,84,76,75,4,0,0,Medium,2015
160,Gervinho,Roma,Serie A,69,34,9,27,3,61,86,81,83,68,67,3,0,0,High,2015
161,S. Bender,Borussia Dortmund,Bundesliga,62,85,11,25,2,70,67,81,83,76,56,2,0,0,High,2015
162,J. Hernández,Real Madrid,La Liga,74,25,11,26,3,64,78,81,83,72,64,3,0,0,Medium,2015
163,M. Sakho,Liverpool,Premier League,50,80,10,24,3,57,63,81,83,66,52,2,0,0,Medium,2015
164,Ramires,Chelsea,Premier League,73,78,9,27,3,74,83,81,82,75,71,3,0,0,High,2015
165,S. Eto'o,Everton,Premier League,75,31,10,33,3,71,75,81,81,74,75,4,0,0,Medium,2015
166,M. Klose,Lazio,Serie A,77,27,8,36,4,58,67,81,81,68,62,2,0,0,Medium,2015
167,José Reina,FC Bayern München,Bundesliga,25,25,81,31,2,27,61,81,81,45,24,1,0,0,Medium,2015
168,D. Berbatov,AS Monaco,Ligue 1,83,25,10,33,3,64,62,81,81,71,77,4,0,0,Low,2015
169,D. Drogba,Chelsea,Premier League,78,27,9,36,3,73,59,81,81,78,75,3,0,0,Medium,2015
170,A. Cole,Roma,Serie A,62,79,7,33,3,68,76,81,81,71,66,3,0,0,High,2015
171,R. van der Vaart,Hamburger SV,Bundesliga,75,29,11,31,3,69,67,81,81,67,81,3,0,0,Medium,2015
172,Fernando Torres,Milan,Serie A,75,25,10,30,3,66,73,81,81,75,69,3,0,0,Medium,2015
173,N. de Jong,Milan,Serie A,58,78,1,29,3,72,76,81,81,73,67,2,0,0,Low,2015
174,C. Carrasso,FC Girondins de Bordeaux,Ligue 1,24,25,80,32,3,28,45,81,81,45,23,1,0,0,Medium,2015
175,Fernandinho,Manchester City,Premier League,73,73,9,29,3,73,76,81,81,78,76,3,0,0,Medium,2015
176,S. Kießling,Bayer 04 Leverkusen,Bundesliga,80,37,8,30,2,71,63,81,81,79,63,2,0,0,High,2015
177,Soldado,Tottenham Hotspur,Premier League,76,36,10,29,3,70,74,81,81,77,69,3,0,0,Medium,2015
178,R. Montolivo,Milan,Serie A,70,66,1,29,3,73,65,81,81,74,78,2,0,0,Medium,2015
179,Llorente,Juventus,Serie A,73,30,1,29,3,62,64,81,81,78,58,2,0,0,Medium,2015
180,G. Cahill,Chelsea,Premier League,56,87,8,28,2,62,68,81,81,71,51,2,0,0,Medium,2015
181,L. Koscielny,Arsenal,Premier League,55,81,10,28,3,60,74,81,81,65,53,2,0,0,Medium,2015
182,Diego Alves,Valencia CF,La Liga,24,25,80,29,2,29,62,81,81,54,27,1,0,0,Medium,2015
183,M. Škrtel,Liverpool,Premier League,53,81,8,29,3,55,65,81,81,63,45,2,0,0,Medium,2015
184,Y. Cabaye,Paris Saint-Germain,Ligue 1,74,68,10,28,3,78,73,81,81,76,80,3,0,0,Medium,2015
185,B. Ivanović,Chelsea,Premier League,65,86,11,30,3,67,63,81,81,76,58,2,0,0,High,2015
186,Beto,Sevilla FC,La Liga,25,25,83,32,2,26,49,81,81,45,28,1,0,0,Medium,2015
187,C. Bacca,Sevilla FC,La Liga,74,25,9,27,2,61,80,81,81,79,68,2,0,0,High,2015
188,S. El Shaarawy,Milan,Serie A,69,26,2,21,3,63,82,80,87,69,75,4,0,0,High,2015
189,Parejo,Valencia CF,La Liga,77,33,9,25,2,75,64,80,86,77,84,3,0,0,Medium,2015
190,E. Mangala,Manchester City,Premier League,56,78,9,23,2,58,67,80,86,71,56,2,0,0,High,2015
191,R. Lukaku,Everton,Premier League,73,24,10,21,3,64,73,80,86,77,64,3,0,0,High,2015
192,Rodrigo,Valencia CF,La Liga,76,28,9,23,2,69,82,80,86,75,74,4,0,0,High,2015
193,M. Verratti,Paris Saint-Germain,Ligue 1,61,74,12,21,2,74,79,80,86,62,79,3,0,0,Medium,2015
194,R. Sterling,Liverpool,Premier League,63,53,12,19,3,53,89,80,86,66,69,4,0,0,High,2015
195,Iñigo Martínez,Real Sociedad,La Liga,48,83,11,23,2,51,70,80,86,80,58,2,0,0,Medium,2015
196,E. Banega,Sevilla FC,La Liga,68,69,9,26,2,74,77,80,85,69,81,4,0,0,Medium,2015
197,C. Benteke,Aston Villa,Premier League,74,26,8,23,3,69,69,80,85,82,61,3,0,0,Medium,2015
198,Paulinho,Tottenham Hotspur,Premier League,74,77,10,25,3,74,74,80,85,80,70,3,0,0,Medium,2015
199,Susaeta,Athletic Club de Bilbao,La Liga,72,25,7,26,2,68,81,80,85,72,84,3,0,0,High,2015
200,Muniaín,Athletic Club de Bilbao,La Liga,67,35,9,21,2,68,89,80,85,70,78,4,0,0,High,2015
201,C. Immobile,Borussia Dortmund,Bundesliga,73,26,8,24,2,66,78,80,85,76,63,3,0,0,High,2015
202,X. Shaqiri,FC Bayern München,Bundesliga,69,57,11,22,2,73,87,80,85,77,80,4,0,0,High,2015
203,J. Draxler,FC Schalke 04,Bundesliga,74,28,10,20,2,60,78,80,85,72,78,4,0,0,Medium,2015
204,M. Schneiderlin,Southampton,Premier League,62,81,10,24,2,72,69,80,84,74,68,2,0,0,Medium,2015
205,K. Trapp,Eintracht Frankfurt,Bundesliga,25,25,80,23,2,27,51,80,84,48,24,1,0,0,Medium,2015
206,N. Otamendi,Valencia CF,La Liga,62,85,9,26,2,63,72,80,84,62,56,2,0,0,Medium,2015
207,H. Badstuber,FC Bayern München,Bundesliga,60,77,9,25,3,65,54,80,84,66,67,2,0,0,Medium,2015
208,M. Gonalons,Olympique Lyonnais,Ligue 1,63,79,9,25,2,73,68,80,84,77,69,2,0,0,Medium,2015
209,R. Rodriguez,VfL Wolfsburg,Bundesliga,66,81,13,21,2,72,73,80,84,70,80,3,0,0,High,2015
210,Kiko Casilla,RCD Espanyol,La Liga,25,25,83,27,2,29,53,80,83,48,24,1,0,0,Medium,2015
211,S. Sam,FC Schalke 04,Bundesliga,74,28,11,26,2,66,85,80,83,70,73,4,0,0,Medium,2015
212,José Callejón,Napoli,Serie A,71,25,7,27,2,59,84,80,83,73,69,3,0,0,High,2015
213,W. Szczęsny,Arsenal,Premier League,26,25,78,24,2,32,53,80,83,39,26,1,0,0,Medium,2015
214,M. Dembélé,Tottenham Hotspur,Premier League,71,66,13,26,3,72,75,80,82,80,73,4,0,0,Medium,2015
215,G. Castro,Bayer 04 Leverkusen,Bundesliga,70,75,12,27,2,70,80,80,82,74,73,3,0,0,Medium,2015
216,K. Boateng,FC Schalke 04,Bundesliga,79,70,9,27,3,78,76,80,82,83,77,4,0,0,High,2015
217,Beñat,Athletic Club de Bilbao,La Liga,70,68,10,27,2,79,72,80,82,80,83,2,0,0,Medium,2015
218,A. Cerci,Atlético Madrid,La Liga,72,24,8,26,2,69,80,80,82,75,80,4,0,0,Medium,2015
219,L. Rémy,Chelsea,Premier League,75,22,12,27,3,67,79,80,82,78,65,4,0,0,Medium,2015
220,D. Lovren,Liverpool,Premier League,54,82,10,24,2,59,69,80,82,65,49,2,0,0,High,2015
221,D. Tadić,Southampton,Premier League,70,32,11,25,2,66,78,80,82,68,76,4,0,0,Medium,2015
222,K. Mirallas,Everton,Premier League,76,49,12,26,2,61,82,80,81,71,78,4,0,0,High,2015
223,S. Kjær,LOSC Lille,Ligue 1,55,82,10,25,2,58,65,80,81,67,67,2,0,0,Low,2015
224,F. Totti,Roma,Serie A,76,24,9,37,3,69,57,80,80,67,82,3,0,0,Medium,2015
225,Tiago,Atlético Madrid,La Liga,69,67,9,33,3,74,64,80,80,76,76,4,0,0,Medium,2015
226,G. Barry,Everton,Premier League,73,81,9,33,2,72,55,80,80,74,76,2,0,0,Medium,2015
227,A. Cassano,Parma,Serie A,76,25,7,31,3,60,67,80,80,64,84,3,0,0,Medium,2015
228,T. Rosický,Arsenal,Premier League,68,44,11,33,2,72,77,80,80,67,80,3,0,0,High,2015
229,Mikel Arteta,Arsenal,Premier League,74,70,12,32,3,78,63,80,80,69,81,3,0,0,Medium,2015
230,P. Evra,Juventus,Serie A,61,80,-3,33,3,70,83,80,80,73,67,3,0,0,High,2015
231,E. Adebayor,Tottenham Hotspur,Premier League,76,23,10,30,3,67,67,80,80,76,64,4,0,0,Medium,2015
232,Iraola,Athletic Club de Bilbao,La Liga,67,83,10,32,2,73,76,80,80,76,78,3,0,0,High,2015
233,Aduriz,Athletic Club de Bilbao,La Liga,78,48,11,33,2,68,67,80,80,82,63,3,0,0,Medium,2015
234,J. Mathieu,FC Barcelona,La Liga,72,82,10,30,2,56,73,80,80,79,58,2,0,0,High,2015
235,D. Benaglio,VfL Wolfsburg,Bundesliga,26,25,78,30,3,27,52,80,80,50,26,1,0,0,Medium,2015
236,V. Enyeama,LOSC Lille,Ligue 1,27,25,82,31,2,36,52,80,80,45,34,1,0,0,Medium,2015
237,G. Ochoa,Málaga CF,La Liga,25,25,79,28,3,24,59,80,80,43,26,1,0,0,Medium,2015
238,Raffael,Borussia Mönchengladbach,Bundesliga,75,34,10,29,2,70,79,80,80,74,81,4,0,0,Medium,2015
239,R. Mavuba,LOSC Lille,Ligue 1,59,77,9,30,3,69,73,80,80,72,68,2,0,0,Medium,2015
240,G. Clichy,Manchester City,Premier League,63,79,8,28,3,60,81,80,80,63,64,2,0,0,High,2015
241,Raúl Albiol,Napoli,Serie A,52,82,6,28,2,59,63,80,80,68,57,2,0,0,Medium,2015
242,A. Song,West Ham United,Premier League,62,75,11,26,3,71,69,80,80,68,59,3,0,0,Medium,2015
243,M. Debuchy,Arsenal,Premier League,70,79,9,28,3,71,75,80,80,76,70,3,0,0,High,2015
244,L. Perrin,AS Saint-Étienne,Ligue 1,66,83,10,28,2,68,71,80,80,74,63,2,0,0,Medium,2015
245,B. Sagna,Manchester City,Premier League,66,82,8,31,3,69,75,80,80,75,65,3,0,0,Medium,2015
